0,1,2,3,4,5,6,7,8,9
58.4,57.0,56.1,54.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,52.8,0.0,0.0,54.3,0.0,55.0,0.0,54.5
0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,49.9
0.0,0.0,54.2,0.0,0.0,55.6,0.0,53.3,0.0,51.9
58.0,0.0,0.0,0.0,55.6,57.8,55.0,0.0,0.0,0.0
0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,52.8,0.0,0.0,50.0,0.0,54.1,0.0,53.3
58.7,0.0,0.0,0.0,56.3,59.2,56.7,0.0,0.0,0.0
0.0,0.0,54.6,0.0,0.0,52.3,0.0,53.7,0.0,53.7
0.0,0.0,57.6,0.0,0.0,58.8,0.0,59.5,0.0,55.9
0.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,57.2,0.0,0.0,54.7,0.0,58.2,0.0,52.8
0.0,0.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,55.1,0.0,0.0,54.5,0.0,52.3,55.6
54.3,53.5,55.4,53.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55.5,0.0,0.0,54.4,0.0,0.0,56.1,52.0,0.0
58.7,0.0,0.0,0.0,55.6,57.2,56.0,0.0,0.0,0.0
