,id,t1_sum,basic_agent_Match,arch_receiver_agent_Match,Greedy Agent_Match,med_agent_Match,t3_sum,basic_agent_t3_match,arch_receiver_agent_t3_match,Greedy Agent_t3_match,med_agent_t3_match
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,18,5,6,15,10,31,14,16,27,10
63,5e65a3fee5f641e6b177ab86d6507eed,17,10,10,12,8,27,16,16,25,8
64,53ac4161794d4c8f91f56f297c347de2,19,9,9,10,9,29,14,15,21,10
65,577f061b67894e63b57d5c64c10b579f,16,1,1,15,4,32,3,2,31,5
66,09a8fd08446d46618d512ab6ae646fd4,14,4,4,11,6,25,6,6,25,9
67,bed1917e46074540b220d49a50863447,16,6,5,12,8,24,7,6,24,9
68,90a3ef044c6e4df190f196498a3dc435,16,3,5,11,8,29,14,16,22,9
69,228ef41998394128b656dc3062600b2f,12,1,1,11,7,25,1,1,25,8
70,ab272202d4234ce1b03bdd8dc13065da,16,2,2,13,8,23,2,2,23,12
71,ff9cecdd40884dbda402a08c3c588a28,22,6,6,16,12,32,11,11,28,15
72,c27caefbc69d494eab26b71f1d4d8a25,16,0,0,12,11,28,1,1,28,13
73,cc9b1bfcf23d47268e62aa2aa611c23d,26,8,8,20,11,37,11,12,30,14
74,b17e380ca4bf4a99a834edb38ef3ed53,21,9,9,13,11,31,16,16,24,12
75,b99189eb0e79459695b2fb8299cf1e97,21,7,5,14,17,31,8,5,28,20
76,d5dd168b556449e3916e503e8cdb3a03,19,3,3,19,7,31,3,3,31,7
77,937df90fc12d4c6e8d5ec802a5ce6f52,24,4,4,19,11,33,5,4,30,14
78,e7fa7e2c27b54904a1547a4e53cb73d0,21,3,3,21,11,31,3,3,31,11
79,6cf9282b8ed045e1b653fdd069380ed1,18,1,1,13,12,32,1,1,31,13
80,a4bae2f50f94409eb1a216b577b404b8,23,4,4,21,11,36,4,4,34,12
81,3109e39973ef44ffbcb87cc2b5b7f9c3,20,5,5,18,7,33,5,5,32,8
82,72e1ec74a10c4ec4a1f06db40581a5b6,20,8,8,20,7,32,10,10,32,8
83,4317d9c591e84a2e928dc152fbf91dbe,14,3,3,10,9,21,5,5,21,12
84,6a3c5b35a05547189da30c8623eb1c94,30,9,11,27,9,39,17,18,39,10
85,c78e2a01b9ae4f6f85e0f45af91fe889,24,8,8,16,10,37,15,15,29,10
86,41ea89e0e647471486c711302ebec501,18,4,4,15,11,25,7,7,23,15
87,2c467be71d3e48879263d404d6c1f423,21,8,8,14,7,31,20,24,23,7
88,52a0db886ea14c02ab26f82e4e953f3d,11,0,0,11,3,27,1,1,27,4
89,2230beca2c1a42ffa3d0455c1c86dee5,11,4,4,8,8,25,4,4,24,10
90,8cc0efe0d08141459daa35bb966edd24,15,1,0,15,6,26,1,0,26,6
91,b51fcd84a0a745ee978936645e15658d,20,9,7,12,14,33,17,18,27,14
92,1af89fdd753741a0a32bb71a0d110056,12,0,0,11,5,23,0,0,23,5
93,93d7790ada1c4aeeb045127d3cc5a02e,15,2,2,13,11,25,5,3,23,14
94,0a8ce92862ac47829643d3ce98aa31ca,16,1,1,16,4,35,1,1,35,4
95,5f97c4f4c6a5442294bf69248144c50c,12,5,5,9,6,24,5,5,23,7
96,457895346f554a0891097b8845672d50,18,7,7,15,9,28,12,12,22,10
