,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
10,720c180d3ae344369ecdce7146716e84,21,9,12,11,4,8,9,12,9,10,9,9,9,33,22,26,22,9,10,20,25,22,22,22,22,22
11,15ae0d9539654893a86fa9654c698cc0,22,5,9,4,13,10,5,5,8,4,5,5,5,36,25,21,20,20,10,23,15,16,19,25,25,25
12,166f728b971d498e990b743fdcf071dc,30,12,15,11,18,14,23,14,15,12,12,12,12,38,29,28,30,32,14,32,26,27,29,29,29,29
13,c63cee1f7a7943ae9023dc7a3d65bb42,12,7,7,6,5,10,7,7,6,6,7,7,7,24,16,19,14,7,12,18,18,19,14,16,16,16
14,ddf0296ad9664afebbe1a5ea45d442a1,34,20,16,19,22,9,17,22,17,18,20,20,20,40,32,32,31,32,10,23,34,34,32,32,32,32
15,4646d5091426436d81159130217f1958,25,15,12,16,9,13,15,15,14,16,15,15,15,32,27,25,26,17,13,28,28,27,26,27,27,27
16,a3c9fbfcc0824a9d8f7019e04e044a33,29,13,9,13,14,6,20,17,8,13,13,13,13,35,26,24,23,23,7,26,28,25,24,26,26,26
17,eb9156f0bd354bdfa695f84ad8d97c2e,29,11,12,12,8,9,19,9,11,12,11,11,11,39,22,28,24,15,9,33,22,25,24,22,22,22
18,347a57446bc64d729d8da7db7bc7e68a,30,24,19,21,15,7,23,15,16,21,24,24,24,36,32,29,33,27,7,33,29,30,33,32,32,32
19,5a0a6c173b5d455d9122c056720f07cb,21,8,14,9,13,7,5,9,11,9,8,8,8,33,21,26,23,20,7,15,21,22,21,21,21,21
20,40a7600df224431e9fd071c4658b909c,30,19,21,14,4,9,12,18,23,17,19,19,19,41,33,36,31,11,9,26,34,35,33,33,33,33
21,af2df0a264e54acbb38551acbefc72ed,22,17,15,16,9,9,17,17,15,16,17,17,17,33,30,28,27,14,9,29,28,27,28,30,30,30
22,ac056d1c17bb42dfbc70552d220b12cc,32,20,16,18,11,9,16,17,18,17,20,20,20,39,34,29,34,23,9,30,29,29,34,34,34,34
23,1d4d2163bf9b4e17953acc73ce485996,28,15,20,16,9,7,19,9,13,16,15,15,15,36,32,35,34,19,7,33,25,30,34,32,32,32
24,49fd1bce6ecc4bc6a2d86718c95b10ea,33,16,19,17,13,11,15,14,19,17,16,16,16,39,27,29,29,30,11,28,27,27,29,27,27,27
