,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
41,[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],161,True,True,True,True,True,True,True,True,True,True,True,True
0,[271  94  21],[ 56 262 177],[271  94  21],[ 95  96 271],[ 92  87 246],[ 56 262 177],[ 56 262 177],[ 56 262 177],[271  94  21],[271  94  21],[271  94  21],[271  94  21],177,False,True,False,False,False,True,True,True,False,False,False,False
1,[243 177 105],[267  98 177],[243 105 177],[267 209  98],[ 92  87 161],[267  98 177],[267  98 177],[267  98 177],[243 105 177],[243 105 177],[243 177 105],[243 105 177],177,True,True,True,False,False,True,True,True,True,True,True,True
2,[ 72 241  67],[142  95  67],[ 72  67 241],[ 94 142  95],[ 90  91 107],[142  95  67],[142  95  67],[142  95  67],[ 72  67 241],[ 72  67 241],[ 72  67 241],[ 72  67 241],241,True,False,True,False,False,False,False,False,True,True,True,True
3,[105  24 118],[ 24 118  31],[105  24 118],[271  93  31],[271  92  61],[ 24 118  31],[ 24 118  31],[ 24 118  31],[105  24 118],[105  24 118],[105  24 118],[105  24 118],118,True,True,True,False,False,True,True,True,True,True,True,True
4,[ 72 105 195],[195  72 153],[ 72 105 195],[ 94  95 271],[ 92  87 195],[195  72 153],[195  72 153],[195  72 153],[ 72 105 195],[ 72 105 195],[ 72 105 195],[ 72 105 195],153,False,True,False,False,False,True,True,True,False,False,False,False
5,[ 17 195 110],[110   6 195],[110 195  17],[ 93  94 271],[ 90 271 149],[ 17 195 110],[110   6 195],[110   6 195],[110 195  17],[ 17 195 110],[ 17 195 110],[ 17 195 110],110,True,True,True,False,False,True,True,True,True,True,True,True
6,[  4 222 184],[184 208  18],[  4 222 184],[ 93  94 271],[ 89  90 222],[  4 222 184],[184 208  18],[184 208  18],[  4 222 184],[  4 222 184],[  4 222 184],[  4 222 184],18,False,True,False,False,False,False,True,True,False,False,False,False
7,[105 103 184],[103 184 105],[105 103 184],[ 91  92 271],[271  92   6],[103 105 184],[103 184 105],[103 184 105],[105 103 184],[105 103 184],[105 103 184],[105 103 184],103,True,True,True,False,False,True,True,True,True,True,True,True
8,[ 30 158 246],[271 158 262],[ 30 158 246],[ 92  93 271],[90 91 84],[ 30 158 246],[271 158 262],[271 158 262],[ 30 158 246],[ 30 158 246],[ 30 158 246],[ 30 158 246],158,True,True,True,False,False,True,True,True,True,True,True,True
9,[161 167 105],[167  57 105],[161 167 105],[ 92  93 271],[ 92  87 161],[161 167 105],[167  57 105],[167  57 105],[161 167 105],[161 167 105],[161 167 105],[161 167 105],105,True,True,True,False,False,True,True,True,True,True,True,True
10,[163 167  72],[ 91 167  72],[163 167  72],[ 91  92 271],[271  91  72],[163 167  72],[ 91 167  72],[ 91 167  72],[163 167  72],[163 167  72],[163 167  72],[163 167  72],72,True,True,True,False,True,True,True,True,True,True,True,True
11,[ 61 105 199],[ 92 105 271],[ 61 105 199],[ 91  92 271],[271  91 199],[ 61 199 105],[ 92 105 271],[ 92 105 271],[ 61 105 199],[ 61 105 199],[ 61 105 199],[ 61 105 199],105,True,True,True,False,False,True,True,True,True,True,True,True
12,[271 105  72],[271 105  72],[271 105  72],[ 91  92 271],[271  91  72],[271  72 105],[271 105  72],[271 105  72],[271 105  72],[271 105  72],[271 105  72],[271 105  72],72,True,True,True,False,True,True,True,True,True,True,True,True
