,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
17,[ 10 262 156],[239 119 262],[ 10 156 262],[262 239 119],[ 91 271 262],[ 10 262 156],[ 92 156 262],[239 119 262],[ 10 156 262],[ 10 262 156],[ 10 262 156],[ 10 262 156],232,False,False,False,False,False,False,False,False,False,False,False,False
18,[164   6 208],[208 142 177],[164   6 208],[164 142   6],[ 89 271 224],[164   6 208],[164   6 208],[208 142 177],[164   6 208],[164   6 208],[164   6 208],[164   6 208],177,False,True,False,False,False,False,False,True,False,False,False,False
19,[161 259   6],[214   7  52],[161 259   6],[22 12  6],[ 90 271 214],[259 161   6],[ 22 259   6],[214   7  52],[161 259   6],[161 259   6],[161 259   6],[161 259   6],158,False,False,False,False,False,False,False,False,False,False,False,False
20,[187 149 107],[191 107 187],[187 149 107],[149 182 107],[271  91 242],[187 149 107],[191 149 107],[191 107 187],[187 149 107],[187 149 107],[187 149 107],[187 149 107],191,False,True,False,False,False,False,True,True,False,False,False,False
21,[214  23 129],[129 214  23],[214  23 129],[ 23 246 129],[ 90 271 214],[214  23 129],[214  23 129],[129 214  23],[214  23 129],[214  23 129],[214  23 129],[214  23 129],181,False,False,False,False,False,False,False,False,False,False,False,False
22,[247 200  57],[228  57 247],[247 200  57],[200 228  57],[ 90  91 228],[257 200  57],[257 200  57],[228  57 247],[247 200  57],[247 200  57],[247 200  57],[247 200  57],247,True,True,True,False,False,False,False,True,True,True,True,True
23,[149 164 185],[185 191 164],[149 164 185],[149 185 164],[ 91  92 164],[149 185 164],[185 149 164],[185 191 164],[149 164 185],[149 164 185],[149 164 185],[149 164 185],191,False,True,False,False,False,False,False,True,False,False,False,False
24,[119 231  57],[231 119  52],[119 231  57],[ 52  57 119],[ 89  90 119],[119 231  57],[119 231  57],[231 119  52],[119 231  57],[119 231  57],[119 231  57],[119 231  57],231,True,True,True,False,False,True,True,True,True,True,True,True
25,[  2 200 262],[200   2 262],[  2 200 262],[  2 200 262],[ 92   2 271],[  2 200 262],[  2 200 262],[200   2 262],[  2 200 262],[  2 200 262],[  2 200 262],[  2 200 262],2,True,True,True,True,True,True,True,True,True,True,True,True
26,[271 224 199],[271 224 199],[271 224 199],[271 224 199],[ 89 271 224],[271 224 199],[271 224 199],[271 224 199],[271 224 199],[271 224 199],[271 224 199],[271 224 199],224,True,True,True,True,True,True,True,True,True,True,True,True
