,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
37,[243 157   4],[267   4 157],[243 157   4],[243   4 157],[ 91  92 198],[243 157   4],[243 157   4],[243 157   4],[243 157   4],[243 157   4],[243 157   4],[243 157   4],267,False,True,False,False,False,False,False,False,False,False,False,False
38,[198 222 143],[198 143 222],[198 222 143],[ 91 143 222],[ 89  90 222],[198 222 143],[198 222 143],[198 222 143],[198 222 143],[198 222 143],[198 222 143],[198 222 143],143,True,True,True,True,False,True,True,True,True,True,True,True
39,[228  60 198],[228  60 198],[228  60 198],[ 90  91 228],[ 90  91 228],[228  60 198],[228  60 198],[228  60 198],[228  60 198],[228  60 198],[228  60 198],[228  60 198],198,True,True,True,False,False,True,True,True,True,True,True,True
40,[92  2 60],[92  2 60],[92  2 60],[ 92   2 271],[ 92 271  60],[92  2 60],[92  2 60],[92  2 60],[92  2 60],[92  2 60],[92  2 60],[92  2 60],60,True,True,True,False,True,True,True,True,True,True,True,True
41,[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],[90 91 86],86,True,True,True,True,True,True,True,True,True,True,True,True
0,[253 193 184],[ 62 184 187],[253 193 184],[173  32 246],[ 90  91 187],[ 62 184 187],[ 62 184 187],[ 62 184 187],[253 193 184],[253 193 184],[253 193 184],[253 193 184],193,True,False,True,False,False,False,False,False,True,True,True,True
1,[142   0   5],[142 156   0],[  5   2 181],[246 167 142],[ 92 271   7],[142 156   0],[142 156   0],[142 156   0],[  5   2 181],[142   0   5],[142   0   5],[142   0   5],0,True,True,False,False,False,True,True,True,False,True,True,True
2,[ 80  89 184],[ 89 184 271],[ 80 184 271],[228 246  80],[ 90  91 271],[ 89 184 271],[ 89 184 271],[ 89 184 271],[  2 184 271],[ 80  89 184],[ 80  89 184],[ 80  89 184],89,True,True,False,False,False,True,True,True,False,True,True,True
3,[107 203 143],[215 143 271],[215 143 107],[107  17 238],[ 92 271 143],[215 143 271],[215 143 271],[215 143 271],[215 143 107],[107 203 143],[107 203 143],[107 203 143],107,True,False,True,True,False,False,False,False,True,True,True,True
4,[158  24  92],[ 24 129 165],[158  24 224],[ 24 165  92],[ 90 271 156],[ 24 129 165],[ 24 129 165],[ 24 129 165],[158  24 224],[158  24  92],[158  24  92],[158  24  92],24,True,True,True,True,False,True,True,True,True,True,True,True
