,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
36,[221  94 203],[203  94 221],[221  94 203],[231 203  94],[ 89  90 221],[221  94 203],[203  94 221],[231 203  94],[221  94 203],[221  94 203],[221  94 203],[221  94 203],203,True,True,True,True,False,True,True,True,True,True,True,True
37,[181 156 253],[181 156 253],[181 156 253],[ 28 181 253],[ 90  91 253],[181 156 253],[181 156 253],[181 156 253],[181 156 253],[181 156 253],[181 156 253],[181 156 253],75,False,False,False,False,False,False,False,False,False,False,False,False
38,[143 105  42],[143 105 262],[143 105  42],[262 105  42],[ 91 271 262],[143 105  42],[143 105  42],[143 105  42],[143 105  42],[143 105  42],[143 105  42],[143 105  42],42,True,False,True,True,False,True,True,True,True,True,True,True
39,[185  28  42],[185  28  42],[185  28  42],[185  28  42],[ 90  91 185],[185  28  42],[185  28  42],[185  28  42],[185  28  42],[185  28  42],[185  28  42],[185  28  42],42,True,True,True,True,False,True,True,True,True,True,True,True
40,[ 89 185 215],[ 89 185 215],[ 89 185 215],[ 89 215 185],[ 90  91 185],[ 89 185 215],[ 89 185 215],[ 89 185 215],[ 89 185 215],[ 89 185 215],[ 89 185 215],[ 89 185 215],185,True,True,True,True,True,True,True,True,True,True,True,True
41,[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],[ 90  91 185],185,True,True,True,True,True,True,True,True,True,True,True,True
0,[231 221 126],[221  21 126],[231 221 126],[231  21 110],[ 89 271 217],[221  21 126],[221  21 126],[221  21 126],[231 221 126],[231 221 126],[231 221 126],[231 221 126],202,False,False,False,False,False,False,False,False,False,False,False,False
1,[260  98 121],[260 196 121],[260  98 121],[178  98 110],[ 92  87 178],[260 196 121],[260 196 121],[260 196 121],[260  98 121],[260  98 121],[260  98 121],[260  98 121],121,True,True,True,False,False,True,True,True,True,True,True,True
2,[129  49 260],[139  49 260],[129  49 260],[157 139 167],[271  91 165],[139  49 260],[139  49 260],[139  49 260],[129  49 260],[129  49 260],[129  49 260],[129  49 260],139,False,True,False,True,False,True,True,True,False,False,False,False
3,[168  69 260],[168  69 260],[168  69 260],[246  69  52],[ 90  91 260],[168  69 260],[168  69 260],[168  69 260],[168  69 260],[168  69 260],[168  69 260],[168  69 260],168,True,True,True,False,False,True,True,True,True,True,True,True
4,[224 142   0],[224 142   0],[224 142   0],[ 86   0 142],[ 89 271 224],[224 142   0],[224 142   0],[224 142   0],[224 142   0],[224 142   0],[224 142   0],[224 142   0],0,True,True,True,True,False,True,True,True,True,True,True,True
5,[ 16  22 260],[ 16  22 260],[ 16  22 260],[205  16  22],[91 92 28],[ 16 260  22],[ 16  22 260],[ 16  22 260],[ 16  22 260],[ 16  22 260],[ 16  22 260],[ 16  22 260],260,True,True,True,False,False,True,True,True,True,True,True,True
6,[220  87 192],[ 52 220 192],[220  87 192],[157  87 192],[ 90  91 187],[220  87 192],[ 52 220 192],[ 52 220 192],[220  87 192],[220  87 192],[220  87 192],[220  87 192],220,True,True,True,False,False,True,True,True,True,True,True,True
7,[156 110  11],[156 110  11],[156 110  11],[205  11 110],[91 92 28],[156  11 110],[156 110  11],[156 110  11],[156 110  11],[156 110  11],[156 110  11],[156 110  11],156,True,True,True,False,False,True,True,True,True,True,True,True
8,[161 217 156],[161 217 156],[161 217 156],[ 84 243 217],[90 91 84],[161 217 156],[161 217 156],[161 217 156],[161 217 156],[161 217 156],[161 217 156],[161 217 156],217,True,True,True,True,False,True,True,True,True,True,True,True
9,[178 110 221],[236 110 221],[178 110 221],[206 178 110],[ 90  91 236],[178 110 221],[236 110 221],[236 110 221],[178 110 221],[178 110 221],[178 110 221],[178 110 221],236,False,True,False,False,True,False,True,True,False,False,False,False
10,[165 157 214],[165 157 214],[165 157 214],[214 157 165],[ 90 271 214],[165 157 214],[165 157 214],[165 157 214],[165 157 214],[165 157 214],[165 157 214],[165 157 214],214,True,True,True,True,True,True,True,True,True,True,True,True
