,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
11,[ 90  91 271],[ 90  91 253],[ 89 253 200],[ 90  91 271],[ 89  90 221],[ 90  91 271],[ 90  91 253],[ 90  91 253],[ 89 253 200],[ 90  91 271],[ 90  91 271],[ 90  91 271],221,False,False,False,False,True,False,False,False,False,False,False,False
12,[ 91  92 198],[ 91  92 198],[ 91  86 229],[ 90  91 271],[ 91  92 198],[ 91  92 198],[ 91  92 198],[ 91  92 198],[ 91  86 229],[ 91  92 198],[ 91  92 198],[ 91  92 198],198,True,True,False,False,True,True,True,True,False,True,True,True
13,[ 91  92 271],[90 91 84],[90 91 84],[90 91 84],[90 91 84],[90 91 84],[90 91 84],[90 91 84],[90 91 84],[ 91  92 271],[ 91  92 271],[ 91  92 271],84,False,True,True,True,True,True,True,True,True,False,False,False
14,[ 46  94 269],[ 46  94 269],[ 92 246 173],[ 20 147  94],[ 89 271 217],[269  20  46],[ 46  94 269],[ 46  94 269],[ 92 246 173],[ 46  94 269],[ 46  94 269],[ 46  94 269],147,False,False,False,True,False,False,False,False,False,False,False,False
15,[209 146 245],[ 28 245  33],[146 245 106],[209  33 245],[ 91 271  57],[209 245 146],[209 245 146],[ 28 245  33],[245 106  35],[209 146 245],[209 146 245],[209 146 245],245,True,True,True,True,False,True,True,True,True,True,True,True
16,[220 150   7],[267 150   7],[150 185 259],[107 150 119],[ 90  91 185],[  7 150 107],[220 150 267],[267 150   7],[150 185 259],[220 150   7],[220 150   7],[220 150   7],220,True,False,False,False,False,False,True,False,False,True,True,True
17,[ 56  63 258],[ 63 258 119],[ 92 143 185],[ 90  56 119],[271  91  56],[119 258  63],[119 258  63],[ 63 258 119],[ 92 143 185],[ 56  63 258],[ 56  63 258],[ 56  63 258],215,False,False,False,False,False,False,False,False,False,False,False,False
18,[142 231 131],[142 131 267],[142 231 185],[214 142 231],[ 90  91 236],[142 231 131],[231 267 131],[142 131 267],[142 185 231],[142 231 131],[142 231 131],[142 231 131],144,False,False,False,False,False,False,False,False,False,False,False,False
19,[ 46 258  18],[241 258  18],[232 241  18],[  2 232  18],[90 91 46],[ 46 241  18],[232 258  18],[241 258  18],[232 241  18],[ 46 258  18],[ 46 258  18],[ 46 258  18],10,False,False,False,False,False,False,False,False,False,False,False,False
20,[271 232 107],[167 232 107],[232 167 107],[232   2 107],[ 92 167 271],[271 232 107],[271 232 107],[167 232 107],[164 167 107],[271 232 107],[271 232 107],[271 232 107],42,False,False,False,False,False,False,False,False,False,False,False,False
21,[271  92 232],[ 89 214 232],[ 30 129 200],[ 90 214 232],[ 92  91 200],[271  92 232],[271  92 232],[ 89 214 232],[229 129 200],[271  92 232],[271  92 232],[271  92 232],89,False,True,False,False,False,False,False,True,False,False,False,False
22,[ 90  91 271],[242 182 173],[242 173 246],[271  91 242],[ 92  87 246],[271  91 242],[ 90  91 271],[242 182 173],[242 173 246],[ 90  91 271],[ 90  91 271],[ 90  91 271],173,False,True,True,False,False,False,False,True,True,False,False,False
