,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
22,124,124,124,87,29,124,124,124,124,124,124,124,222,False,False,False,False,False,False,False,False,False,False,False,False
23,262,262,262,262,262,262,262,262,262,262,262,262,4,False,False,False,False,False,False,False,False,False,False,False,False
24,208,271,208,42,208,208,208,271,208,208,208,208,271,False,True,False,False,False,False,False,True,False,False,False,False
25,62,271,62,62,271,62,62,271,62,62,62,62,271,False,True,False,False,True,False,False,True,False,False,False,False
26,185,185,185,185,185,185,185,185,185,185,185,185,257,False,False,False,False,False,False,False,False,False,False,False,False
27,208,208,208,208,208,208,208,208,208,208,208,208,208,True,True,True,True,True,True,True,True,True,True,True,True
28,223,223,223,223,165,223,223,223,223,223,223,223,192,False,False,False,False,False,False,False,False,False,False,False,False
29,95,0,95,95,195,95,95,0,95,95,95,95,135,False,False,False,False,False,False,False,False,False,False,False,False
30,45,84,45,84,32,45,45,45,45,45,45,45,86,False,False,False,False,False,False,False,False,False,False,False,False
31,262,262,262,262,109,262,262,262,262,262,262,262,33,False,False,False,False,False,False,False,False,False,False,False,False
32,60,187,60,119,178,60,60,60,60,60,60,60,119,False,False,False,True,False,False,False,False,False,False,False,False
33,42,18,42,178,178,42,42,42,42,42,42,42,56,False,False,False,False,False,False,False,False,False,False,False,False
34,198,203,198,198,258,198,198,198,198,198,198,198,203,False,True,False,False,False,False,False,False,False,False,False,False
35,97,239,97,239,246,97,97,97,97,97,97,97,239,False,True,False,True,False,False,False,False,False,False,False,False
36,262,262,262,262,91,262,262,262,262,262,262,262,271,False,False,False,False,False,False,False,False,False,False,False,False
37,57,57,57,157,30,57,57,57,57,57,57,57,157,False,False,False,True,False,False,False,False,False,False,False,False
38,84,84,84,84,32,84,84,84,84,84,84,84,42,False,False,False,False,False,False,False,False,False,False,False,False
39,232,232,232,232,77,232,232,232,232,232,232,232,232,True,True,True,True,False,True,True,True,True,True,True,True
40,60,30,60,60,30,60,60,60,60,60,60,60,60,True,False,True,True,False,True,True,True,True,True,True,True
41,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True,True,True,True,True,True,True,True,True
0,0,55,0,238,268,55,55,55,0,0,0,0,55,False,True,False,False,False,True,True,True,False,False,False,False
1,95,270,95,248,225,270,270,270,95,95,95,95,19,False,False,False,False,False,False,False,False,False,False,False,False
2,6,19,6,119,163,19,19,19,6,6,6,6,19,False,True,False,False,False,True,True,True,False,False,False,False
