,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
38,[246  46 178],[ 23  46 178],[246  46 178],[ 46 246 178],[ 91 271  23],[246  46 178],[246  46 178],[246  46 178],[246  46 178],[246  46 178],[246  46 178],[246  46 178],46,True,True,True,True,False,True,True,True,True,True,True,True
39,[243 149 182],[243 149 182],[243 149 182],[149 243 182],[ 90 271 149],[243 149 182],[243 149 182],[243 149 182],[243 149 182],[243 149 182],[243 149 182],[243 149 182],182,True,True,True,True,False,True,True,True,True,True,True,True
40,[271 206   4],[271 206   4],[271 206   4],[271 206   4],[271  91   4],[271 206   4],[271 206   4],[271 206   4],[271 206   4],[271 206   4],[271 206   4],[271 206   4],4,True,True,True,True,True,True,True,True,True,True,True,True
41,[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],[ 91  90 258],258,True,True,True,True,True,True,True,True,True,True,True,True
0,[118 223  42],[ 46 223 118],[118 223  42],[223 110  42],[92 87 42],[ 46 223 118],[ 46 223 118],[ 46 223 118],[118 223  42],[118 223  42],[118 223  42],[118 223  42],223,True,True,True,True,False,True,True,True,True,True,True,True
1,[174  28 255],[146 255 174],[ 19  28 255],[174   1 157],[ 91 271 146],[146 255 174],[146 255 174],[146 255 174],[ 19  28 255],[174  28 255],[174  28 255],[174  28 255],174,True,True,False,True,False,True,True,True,False,True,True,True
2,[209  53 234],[ 53 209 234],[122  53 234],[228 182 209],[ 91  90 234],[ 53 209 234],[ 53 209 234],[ 53 209 234],[122  53 234],[209  53 234],[209  53 234],[209  53 234],234,True,True,True,False,True,True,True,True,True,True,True,True
3,[204  17  56],[22 89 56],[204  17  56],[ 56 111 182],[ 91 271  78],[22 89 56],[22 89 56],[22 89 56],[204  17  56],[204  17  56],[204  17  56],[204  17  56],56,True,True,True,True,False,True,True,True,True,True,True,True
4,[140 258 206],[119 140 184],[140 258 206],[178 120 119],[ 89  90 119],[119 140 184],[119 140 184],[119 140 184],[140 258 206],[140 258 206],[140 258 206],[140 258 206],140,True,True,True,False,False,True,True,True,True,True,True,True
5,[182 242  62],[132 242 105],[105 242  62],[105 228 182],[ 91  90 105],[182 242  62],[132 242 105],[132 242 105],[105 242  62],[182 242  62],[182 242  62],[182 242  62],132,False,True,False,False,False,False,True,True,False,False,False,False
6,[259   6 231],[231 119   6],[259   6 231],[244 157 119],[271  92 244],[259   6 231],[231 119   6],[231 119   6],[259   6 231],[259   6 231],[259   6 231],[259   6 231],231,True,True,True,False,False,True,True,True,True,True,True,True
