,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
10,[185 156 123],[123 156 185],[185 156 123],[164 185 123],[ 91  92 164],[156 185 123],[123 156 185],[123 156 185],[185 156 123],[185 156 123],[185 156 123],[185 156 123],156,True,True,True,False,False,True,True,True,True,True,True,True
11,[228 244 164],[164 244 228],[228 244 164],[164 244 228],[ 90  91 228],[228 244 164],[164 244 228],[164 244 228],[228 244 164],[228 244 164],[228 244 164],[228 244 164],164,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 90 236 215],[ 90 236 215],[ 90 236 215],[ 90 215 236],[ 90  91 236],[ 90 236 215],[ 90 236 215],[ 90 236 215],[ 90 236 215],[ 90 236 215],[ 90 236 215],[ 90 236 215],215,True,True,True,True,False,True,True,True,True,True,True,True
13,[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],[ 92 271  60],60,True,True,True,True,True,True,True,True,True,True,True,True
14,[124  42 215],[215  22 231],[124  42 215],[201 110 157],[271  90 124],[24 22 42],[215  22 231],[215  22 231],[124  42 215],[124  42 215],[124  42 215],[124  42 215],189,False,False,False,False,False,False,False,False,False,False,False,False
15,[236  10 202],[184 142  33],[236  10 202],[142  94 209],[ 91 271  94],[184 209 229],[236  10 202],[184 142  33],[236  10 202],[236  10 202],[236  10 202],[236  10 202],118,False,False,False,False,False,False,False,False,False,False,False,False
16,[164  48 194],[253 142  67],[164  48 194],[228 110 142],[ 91  92 164],[ 67 185 253],[164  48 194],[253 142  67],[164  48 194],[164  48 194],[164  48 194],[164  48 194],67,False,True,False,False,False,True,False,True,False,False,False,False
17,[188 164 194],[195 242 167],[188 164 194],[  6 246 167],[271  91 242],[195 188   6],[188 164 194],[195 242 167],[188 164 194],[188 164 194],[188 164 194],[188 164 194],188,True,False,True,False,False,True,True,False,True,True,True,True
18,[164  10 161],[203 103  33],[164  10 161],[203 222  33],[ 89  90 222],[ 65 103 247],[164  10 161],[203 103  33],[164  10 161],[164  10 161],[164  10 161],[164  10 161],7,False,False,False,False,False,False,False,False,False,False,False,False
19,[185 103 143],[143 103  30],[103 185 143],[186 110 120],[ 90  91 186],[103 185 143],[103 185 143],[143 103  30],[103 185 143],[185 103 143],[185 103 143],[185 103 143],103,True,True,True,False,False,True,True,True,True,True,True,True
20,[242 194  60],[241 157 105],[242 194  60],[241 242 157],[ 90  91 157],[242 241 259],[259 194  60],[241 157 105],[242 194  60],[242 194  60],[242 194  60],[242 194  60],105,False,True,False,False,False,False,False,True,False,False,False,False
21,[ 23  57 236],[222 165  69],[ 23  57 236],[222 244 165],[90 91 69],[222  69  23],[ 23  57 236],[222 165  69],[ 23  57 236],[ 23  57 236],[ 23  57 236],[ 23  57 236],236,True,False,True,False,False,False,True,False,True,True,True,True
22,[ 22 124 215],[157 165 124],[ 22 124 215],[ 77 165 157],[91 92 77],[215 157  22],[ 22 124 215],[157 165 124],[ 22 124 215],[ 22 124 215],[ 22 124 215],[ 22 124 215],124,True,True,True,False,False,False,True,True,True,True,True,True
23,[236  10 202],[236  33 209],[236  10 202],[ 10 209  33],[91 92 33],[ 10 202 209],[236  10 202],[236  33 209],[236  10 202],[236  10 202],[236  10 202],[236  10 202],10,True,False,True,True,False,True,True,False,True,True,True,True
24,[185 194 164],[194 228 185],[185 194 164],[194 185 228],[ 90  91 228],[164 194 185],[185 194 164],[194 228 185],[185 194 164],[185 194 164],[185 194 164],[185 194 164],194,True,True,True,True,False,True,True,True,True,True,True,True
25,[246 164 194],[164 194 246],[246 164 194],[194 164 246],[ 92  87 246],[164 194 246],[246 164 194],[164 194 246],[246 164 194],[246 164 194],[246 164 194],[246 164 194],164,True,True,True,True,False,True,True,True,True,True,True,True
26,[ 93  33 164],[ 93 164  33],[ 93  33 164],[ 93 164  33],[91 92 33],[ 93  33 164],[ 93  33 164],[ 93 164  33],[ 93  33 164],[ 93  33 164],[ 93  33 164],[ 93  33 164],164,True,True,True,True,False,True,True,True,True,True,True,True
27,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
28,[209 220  57],[220 187 209],[209 220  57],[228 165 209],[ 91 271  57],[ 20 129 209],[209 220  57],[220 187 209],[209 220  57],[209 220  57],[209 220  57],[209 220  57],25,False,False,False,False,False,False,False,False,False,False,False,False
29,[ 82 236  45],[ 6 89 52],[ 82 236  45],[  6  52 244],[ 90  91 236],[  6 188  89],[188 236  45],[ 6 89 52],[ 82 236  45],[ 82 236  45],[ 82 236  45],[ 82 236  45],7,False,False,False,False,False,False,False,False,False,False,False,False
30,[220 131  42],[ 24 105 135],[220 131  42],[ 21 135  42],[ 90  91 256],[135  92  42],[220 131  42],[220 131  42],[220 131  42],[220 131  42],[220 131  42],[220 131  42],105,False,True,False,False,False,False,False,False,False,False,False,False
31,[187 198  67],[187 140  67],[187 198  67],[140  86 192],[ 89  90 205],[ 67 185 140],[185 140 198],[140 198  67],[187 198  67],[187 198  67],[187 198  67],[187 198  67],67,True,True,True,False,False,True,False,True,True,True,True,True
32,[236 156 107],[149  91 107],[236 156 107],[229 107 246],[ 92  87 246],[229 149 107],[236 156 107],[236 156 107],[236 156 107],[236 156 107],[236 156 107],[236 156 107],107,True,True,True,True,False,True,True,True,True,True,True,True
33,[247  57  87],[  1 247 222],[247  57  87],[110   1  87],[271  90  87],[247  87 185],[185  87  57],[247  57  87],[247  57  87],[247  57  87],[247  57  87],[247  57  87],243,False,False,False,False,False,False,False,False,False,False,False,False
