,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
35,239,239,239,239,199,97,185,185,239,239,239,239,239,True,True,True,True,False,False,False,False,True,True,True,True
36,124,124,124,165,271,124,124,124,124,124,124,124,271,False,False,False,False,True,False,False,False,False,False,False,False
37,57,57,57,157,134,57,134,134,57,57,57,57,157,False,False,False,True,False,False,False,False,False,False,False,False
38,84,84,84,32,32,221,84,84,84,84,84,84,42,False,False,False,False,False,False,False,False,False,False,False,False
39,232,232,232,232,232,232,232,232,232,232,232,232,232,True,True,True,True,True,True,True,True,True,True,True,True
40,60,30,60,0,60,60,60,60,60,60,60,60,60,True,False,True,False,True,True,True,True,True,True,True,True
41,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True,True,True,True,True,True,True,True,True
0,238,238,238,238,268,238,238,238,238,238,238,238,55,False,False,False,False,False,False,False,False,False,False,False,False
1,95,19,95,165,248,19,19,19,95,95,95,95,19,False,True,False,False,False,True,True,True,False,False,False,False
2,19,19,119,119,6,19,19,19,119,19,19,19,19,True,True,False,False,False,True,True,True,False,True,True,True
3,231,66,132,132,268,66,66,66,132,231,231,231,132,False,False,True,True,False,False,False,False,True,False,False,False
4,69,203,69,167,4,203,203,203,69,69,69,69,69,True,False,True,False,False,False,False,False,True,True,True,True
5,53,187,53,187,208,53,187,187,187,53,53,53,187,False,True,False,True,False,False,True,True,True,False,False,False
6,231,231,231,206,243,231,231,231,231,231,231,231,253,False,False,False,False,False,False,False,False,False,False,False,False
7,271,188,271,181,35,271,188,188,271,271,271,271,188,False,True,False,False,False,False,True,True,False,False,False,False
8,247,247,247,6,268,268,247,247,247,247,247,247,122,False,False,False,False,False,False,False,False,False,False,False,False
9,260,28,260,28,4,4,28,28,260,260,260,260,151,False,False,False,False,False,False,False,False,False,False,False,False
10,57,57,57,109,23,57,57,57,57,57,57,57,109,False,False,False,True,False,False,False,False,False,False,False,False
11,268,268,268,268,268,268,268,268,268,268,268,268,2,False,False,False,False,False,False,False,False,False,False,False,False
12,208,208,208,4,208,4,208,208,208,208,208,208,208,True,True,True,False,True,False,True,True,True,True,True,True
13,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
14,8,8,160,8,120,160,8,8,160,8,8,8,116,False,False,False,False,False,False,False,False,False,False,False,False
15,146,146,146,110,168,146,110,146,146,146,146,146,85,False,False,False,False,False,False,False,False,False,False,False,False
16,132,187,132,182,54,4,182,187,132,132,132,132,132,True,False,True,False,False,False,False,False,True,True,True,True
17,192,33,192,192,205,206,192,33,124,192,192,192,105,False,False,False,False,False,False,False,False,False,False,False,False
18,73,73,73,84,84,214,73,73,73,73,73,73,196,False,False,False,False,False,False,False,False,False,False,False,False
19,124,52,124,1,246,124,1,52,124,124,124,124,87,False,False,False,False,False,False,False,False,False,False,False,False
20,142,142,53,142,60,53,142,142,53,142,142,142,103,False,False,False,False,False,False,False,False,False,False,False,False
21,187,187,187,228,187,205,228,187,187,187,187,187,187,True,True,True,False,True,False,False,True,True,True,True,True
22,107,107,107,182,21,191,182,107,107,107,107,107,21,False,False,False,False,True,False,False,False,False,False,False,False
23,97,97,61,61,97,91,61,97,61,97,97,97,42,False,False,False,False,False,False,False,False,False,False,False,False
24,156,187,187,187,4,4,156,187,187,156,156,156,187,False,True,True,True,False,False,False,True,True,False,False,False
25,167,206,167,167,167,206,167,206,167,167,167,167,206,False,True,False,False,False,True,False,True,False,False,False,False
26,84,84,243,84,84,84,84,84,84,84,84,84,243,False,False,True,False,False,False,False,False,False,False,False,False
27,84,84,84,84,84,84,84,84,84,84,84,84,84,True,True,True,True,True,True,True,True,True,True,True,True
28,95,142,95,142,257,205,142,142,95,95,95,95,19,False,False,False,False,False,False,False,False,False,False,False,False
29,238,238,258,238,238,258,238,238,258,238,238,238,190,False,False,False,False,False,False,False,False,False,False,False,False
30,95,142,118,142,243,205,142,142,118,95,95,95,118,False,False,True,False,False,False,False,False,True,False,False,False
31,231,187,231,246,204,231,246,246,231,231,231,231,103,False,False,False,False,False,False,False,False,False,False,False,False
32,226,107,226,61,198,226,228,228,226,226,226,226,184,False,False,False,False,False,False,False,False,False,False,False,False
33,53,187,53,167,23,53,167,167,53,53,53,53,187,False,True,False,False,False,False,False,False,False,False,False,False
34,67,67,67,67,164,46,67,67,67,67,67,67,16,False,False,False,False,False,False,False,False,False,False,False,False
35,146,146,146,165,158,146,165,165,146,146,146,146,241,False,False,False,False,False,False,False,False,False,False,False,False
36,161,161,2,257,82,205,161,161,2,161,161,161,82,False,False,False,False,True,False,False,False,False,False,False,False
37,238,238,107,238,107,77,238,238,107,238,238,238,107,False,False,True,False,True,False,False,False,True,False,False,False
38,67,67,67,67,243,156,67,67,67,67,67,67,67,True,True,True,True,False,False,True,True,True,True,True,True
39,193,187,193,187,187,191,193,193,193,193,193,193,187,False,True,False,True,True,False,False,False,False,False,False,False
40,243,61,243,61,243,61,61,61,243,243,243,243,61,False,True,False,True,False,True,True,True,False,False,False,False
41,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
0,150,24,150,80,150,24,24,24,150,150,150,150,95,False,False,False,False,False,False,False,False,False,False,False,False
1,232,215,232,1,221,215,215,215,232,232,232,232,155,False,False,False,False,False,False,False,False,False,False,False,False
2,146,146,146,244,226,146,146,146,146,146,146,146,145,False,False,False,False,False,False,False,False,False,False,False,False
3,107,107,107,94,195,107,107,107,107,107,107,107,94,False,False,False,True,False,False,False,False,False,False,False,False
4,94,54,241,94,42,54,54,54,241,94,94,94,94,True,False,False,True,False,False,False,False,False,True,True,True
5,65,28,65,1,110,60,28,28,65,65,65,65,110,False,False,False,False,True,False,False,False,False,False,False,False
6,28,28,184,228,72,184,28,28,184,28,28,28,182,False,False,False,False,False,False,False,False,False,False,False,False
7,65,65,65,119,119,65,65,65,65,65,65,65,119,False,False,False,True,True,False,False,False,False,False,False,False
8,24,24,24,24,194,24,24,24,24,24,24,24,24,True,True,True,True,False,True,True,True,True,True,True,True
9,232,28,232,1,28,103,28,28,232,232,232,232,1,False,False,False,True,False,False,False,False,False,False,False,False
10,167,244,206,244,1,206,244,244,206,167,167,167,1,False,False,False,False,True,False,False,False,False,False,False,False
11,77,30,77,77,77,30,30,30,77,77,77,77,77,True,False,True,True,True,False,False,False,True,True,True,True
12,214,214,214,158,214,158,214,214,158,214,214,214,158,False,False,False,True,False,True,False,False,True,False,False,False
13,257,257,257,257,257,257,257,257,257,257,257,257,257,True,True,True,True,True,True,True,True,True,True,True,True
14,76,203,76,239,53,269,203,203,76,76,76,76,76,True,False,True,False,False,False,False,False,True,True,True,True
15,53,96,96,96,173,124,53,96,96,53,53,53,96,False,True,True,True,False,False,False,True,True,False,False,False
16,231,187,231,1,60,10,231,187,231,231,231,231,110,False,False,False,False,False,False,False,False,False,False,False,False
17,255,215,255,228,53,215,53,215,255,255,255,255,255,True,False,True,False,False,False,False,False,True,True,True,True
18,17,30,17,246,86,30,17,30,17,17,17,17,86,False,False,False,False,True,False,False,False,False,False,False,False
19,65,65,229,228,148,105,214,65,229,65,65,65,153,False,False,False,False,False,False,False,False,False,False,False,False
20,178,187,187,244,187,187,244,187,187,178,178,178,12,False,False,False,False,False,False,False,False,False,False,False,False
21,53,124,105,120,221,124,53,124,105,53,53,53,105,False,False,True,False,False,False,False,False,True,False,False,False
22,203,203,203,182,182,198,203,203,203,203,203,203,182,False,False,False,True,True,False,False,False,False,False,False,False
23,53,209,53,209,209,30,53,209,53,53,53,53,209,False,True,False,True,True,False,False,True,False,False,False,False
24,231,231,231,1,1,163,231,231,231,231,231,231,1,False,False,False,True,True,False,False,False,False,False,False,False
25,53,28,53,228,28,53,53,28,53,53,53,53,228,False,False,False,True,False,False,False,False,False,False,False,False
26,17,30,17,17,30,30,17,30,17,17,17,17,17,True,False,True,True,False,False,True,False,True,True,True,True
27,184,184,184,184,184,184,184,184,184,184,184,184,184,True,True,True,True,True,True,True,True,True,True,True,True
28,232,7,107,244,107,48,232,7,232,232,232,232,107,False,False,True,False,True,False,False,False,False,False,False,False
29,67,28,67,94,164,124,206,28,67,67,67,67,132,False,False,False,False,False,False,False,False,False,False,False,False
30,80,107,232,80,232,54,232,232,232,80,80,80,80,True,False,False,True,False,False,False,False,False,True,True,True
31,95,28,95,1,28,220,206,95,95,95,95,95,111,False,False,False,False,False,False,False,False,False,False,False,False
32,112,7,112,20,7,267,112,112,112,112,112,112,20,False,False,False,True,False,False,False,False,False,False,False,False
33,146,146,146,94,203,241,146,253,146,146,146,146,241,False,False,False,False,False,True,False,False,False,False,False,False
34,146,146,146,178,178,146,146,253,146,146,146,146,42,False,False,False,False,False,False,False,False,False,False,False,False
35,231,65,231,246,231,231,231,149,231,231,231,231,65,False,True,False,False,False,False,False,False,False,False,False,False
