,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
2,[ 49 243 107],[202 215 107],[243  30 107],[ 30 243 107],[271  92 197],[202 215 107],[202 215 107],[202 215 107],[243  30 107],[ 49 243 107],[ 49 243 107],[ 49 243 107],80,False,False,False,False,False,False,False,False,False,False,False,False
3,[ 86 206 168],[ 10  91 168],[ 86 206 168],[ 10 206 168],[ 90 271 156],[ 10  91 168],[ 10  91 168],[ 10  91 168],[ 86 206 168],[ 86 206 168],[ 86 206 168],[ 86 206 168],246,False,False,False,False,False,False,False,False,False,False,False,False
4,[168   2 187],[ 10 105 119],[  2 168 187],[187 168  95],[271  91  95],[ 10 105 119],[ 10 105 119],[ 10 105 119],[105   2 187],[168   2 187],[168   2 187],[168   2 187],119,False,True,False,False,False,True,True,True,False,False,False,False
5,[ 84 269 231],[186  23  84],[269  84 231],[ 84 231 269],[90 91 84],[ 84 269 231],[186  23  84],[186  23  84],[269  84 231],[ 84 269 231],[ 84 269 231],[ 84 269 231],257,False,False,False,False,False,False,False,False,False,False,False,False
6,[ 28 238 107],[ 28 107 124],[ 28 238 107],[ 28 107 238],[271  90 124],[ 28 238 107],[ 28 107 124],[ 28 107 124],[ 28 238 107],[ 28 238 107],[ 28 238 107],[ 28 238 107],238,True,False,True,True,False,True,False,False,True,True,True,True
7,[185 198 247],[ 54 198 185],[185 198 247],[185 198 247],[ 90  91 185],[185 198 247],[ 54 198 185],[ 54 198 185],[185 198 247],[185 198 247],[185 198 247],[185 198 247],257,False,False,False,False,False,False,False,False,False,False,False,False
8,[271 232  91],[ 62  91 271],[271 232  91],[100 199  62],[ 90 271  91],[232 271  91],[ 62  91 271],[ 62  91 271],[271 232  91],[271 232  91],[271 232  91],[271 232  91],271,True,True,True,False,True,True,True,True,True,True,True,True
9,[  2 184  28],[ 28  61 185],[  2 184  28],[185   2  28],[91 92 28],[  2 184  28],[ 28  61 185],[ 28  61 185],[  2 184  28],[  2 184  28],[  2 184  28],[  2 184  28],61,False,True,False,False,False,False,True,True,False,False,False,False
10,[232 140  30],[140 215  30],[215 140  30],[232 140  30],[ 90  91 232],[232 140  30],[140 215  30],[140 215  30],[215 140  30],[232 140  30],[232 140  30],[232 140  30],232,True,False,False,True,True,True,False,False,False,True,True,True
11,[156 236  91],[236 156  91],[156 236  91],[156  91 236],[ 90 271  91],[156 236  91],[236 156  91],[236 156  91],[156 236  91],[156 236  91],[156 236  91],[156 236  91],91,True,True,True,True,True,True,True,True,True,True,True,True
12,[271   2   6],[271   2   6],[271   2   6],[271   2   6],[ 92   2 271],[271   2   6],[271   2   6],[271   2   6],[271   2   6],[271   2   6],[271   2   6],[271   2   6],2,True,True,True,True,True,True,True,True,True,True,True,True
