,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
20,103,53,103,142,142,103,103,53,103,103,103,103,103,True,False,True,False,False,True,True,False,True,True,True,True
21,20,20,20,165,57,20,20,20,20,20,20,20,187,False,False,False,False,False,False,False,False,False,False,False,False
22,107,21,107,182,21,107,107,21,107,107,107,107,21,False,True,False,False,True,False,False,True,False,False,False,False
23,91,91,91,61,42,221,91,91,91,91,91,91,42,False,False,False,False,True,False,False,False,False,False,False,False
24,195,156,195,187,195,195,195,156,195,195,195,195,187,False,False,False,True,False,False,False,False,False,False,False,False
25,1,1,1,1,206,1,1,1,1,1,1,1,206,False,False,False,False,True,False,False,False,False,False,False,False
26,243,243,243,243,84,243,243,243,243,243,243,243,243,True,True,True,True,False,True,True,True,True,True,True,True
27,84,84,84,84,84,84,84,84,84,84,84,84,84,True,True,True,True,True,True,True,True,True,True,True,True
28,2,2,2,142,97,2,95,2,2,2,2,2,19,False,False,False,False,False,False,False,False,False,False,False,False
29,107,74,107,238,74,107,107,74,107,107,107,107,190,False,False,False,False,False,False,False,False,False,False,False,False
30,67,5,67,142,5,67,67,67,67,67,67,67,118,False,False,False,False,False,False,False,False,False,False,False,False
31,103,103,103,246,103,103,103,103,103,103,103,103,103,True,True,True,False,True,True,True,True,True,True,True,True
32,107,107,107,61,184,107,107,107,107,107,107,107,184,False,False,False,False,True,False,False,False,False,False,False,False
33,242,53,242,167,242,242,242,242,242,242,242,242,187,False,False,False,False,False,False,False,False,False,False,False,False
34,67,67,67,91,91,67,67,67,67,67,67,67,16,False,False,False,False,False,False,False,False,False,False,False,False
35,241,6,241,165,146,241,241,241,241,241,241,241,241,True,False,True,False,False,True,True,True,True,True,True,True
36,2,2,2,257,257,2,2,2,2,2,2,2,82,False,False,False,False,False,False,False,False,False,False,False,False
37,107,77,107,238,77,107,107,107,107,107,107,107,107,True,False,True,False,False,True,True,True,True,True,True,True
38,67,67,67,67,156,67,67,67,67,67,67,67,67,True,True,True,True,False,True,True,True,True,True,True,True
39,193,187,193,187,193,193,193,193,193,193,193,193,187,False,True,False,True,False,False,False,False,False,False,False,False
40,243,243,243,61,243,243,243,243,243,243,243,243,61,False,False,False,True,False,False,False,False,False,False,False,False
41,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
0,95,2,95,80,4,2,2,2,95,95,95,95,95,True,False,True,False,False,False,False,False,True,True,True,True
1,28,1,28,1,103,1,1,1,28,28,28,28,155,False,False,False,False,False,False,False,False,False,False,False,False
2,145,1,145,209,206,1,1,1,145,145,145,145,145,True,False,True,False,False,False,False,False,True,True,True,True
3,94,30,94,94,105,30,30,30,195,94,94,94,94,True,False,True,True,False,False,False,False,False,True,True,True
4,140,94,140,94,105,94,94,94,140,140,140,140,94,False,True,False,True,False,True,True,True,False,False,False,False
5,1,1,28,1,234,1,1,1,28,1,1,1,110,False,False,False,False,False,False,False,False,False,False,False,False
6,182,72,182,182,28,28,72,72,182,182,182,182,182,True,False,True,True,False,False,False,False,True,True,True,True
7,119,46,119,119,86,119,46,46,119,119,119,119,119,True,False,True,True,False,True,False,False,True,True,True,True
8,24,2,24,77,2,24,2,2,24,24,24,24,24,True,False,True,False,False,True,False,False,True,True,True,True
9,1,1,1,1,103,1,1,1,1,1,1,1,1,True,True,True,True,False,True,True,True,True,True,True,True
10,1,1,1,1,167,1,1,1,1,1,1,1,1,True,True,True,True,False,True,True,True,True,True,True,True
11,77,30,77,77,212,77,30,30,77,77,77,77,77,True,False,True,True,False,True,False,False,True,True,True,True
12,158,158,158,158,214,158,158,158,158,158,158,158,158,True,True,True,True,False,True,True,True,True,True,True,True
13,257,257,257,257,257,257,257,257,257,257,257,257,257,True,True,True,True,True,True,True,True,True,True,True,True
14,245,30,245,239,203,154,30,30,245,245,245,245,76,False,False,False,False,False,False,False,False,False,False,False,False
15,209,30,209,209,209,209,209,30,209,209,209,209,96,False,False,False,False,False,False,False,False,False,False,False,False
16,1,1,1,1,110,1,1,1,1,1,1,1,110,False,False,False,False,True,False,False,False,False,False,False,False
17,255,6,255,228,228,255,255,6,255,255,255,255,255,True,False,True,False,False,True,True,False,True,True,True,True
18,246,17,246,246,196,196,246,17,246,246,246,246,86,False,False,False,False,False,False,False,False,False,False,False,False
19,229,105,229,228,148,229,229,105,229,229,229,229,153,False,False,False,False,False,False,False,False,False,False,False,False
20,178,12,178,178,178,229,178,12,178,178,178,178,12,False,True,False,False,False,False,False,True,False,False,False,False
21,120,53,120,120,268,120,120,53,120,120,120,120,105,False,False,False,False,False,False,False,False,False,False,False,False
